LONG,the_geom,LAT,Date_Imple
-73.9633496153,POINT (-73.96334961527361 40.79608997359387),40.7960899736,04/01/1990 12:00:00 AM +0000
-73.9628857806,POINT (-73.96288578055824 40.796720248848196),40.7967202488,04/01/1990 12:00:00 AM +0000
-73.8955129568,POINT (-73.8955129567713 40.84017709765643),40.8401770977,09/09/2013 12:00:00 AM +0000
-73.8966323846,POINT (-73.89663238458259 40.83848257432714),40.8384825743,09/09/2013 12:00:00 AM +0000
-73.8765446271,POINT (-73.87654462710819 40.87660093881003),40.8766009388,07/31/2013 12:00:00 AM +0000
-73.8787684698,POINT (-73.87876846977768 40.876277463645636),40.8762774636,07/31/2013 12:00:00 AM +0000
-73.8756408068,POINT (-73.8756408068453 40.87874151832828),40.8787415183,07/31/2013 12:00:00 AM +0000
-73.8785878906,POINT (-73.87858789060934 40.87833272809412),40.8783327281,07/31/2013 12:00:00 AM +0000
-74.007098963,POINT (-74.00709896304565 40.67589301659849),40.6758930166,11/14/2013 12:00:00 AM +0000
-73.996063136,POINT (-73.99606313604107 40.73015528659228),40.7301552866,11/26/2013 12:00:00 AM +0000
-73.826360487,POINT (-73.82636048703718 40.58357950868956),40.5835795087,05/01/2015 12:00:00 AM +0000
-73.9572639231,POINT (-73.95726392312726 40.806923078747865),40.8069230787,10/09/2014 12:00:00 AM +0000
-73.9225102746,POINT (-73.9225102746358 40.78030432868862),40.7803043287,03/01/2015 12:00:00 AM +0000
-73.9919398518,POINT (-73.9919398517576 40.68731408800945),40.687314088,11/06/2015 12:00:00 AM +0000
-73.8078553374,POINT (-73.80785533743268 40.733850483415644),40.7338504834,05/30/2015 12:00:00 AM +0000
-73.9468064683,POINT (-73.946806468293 40.837295802849624),40.8372958028,07/14/2015 12:00:00 AM +0000
-73.9400126621,POINT (-73.94001266213755 40.71582297372266),40.7158229737,03/30/2015 12:00:00 AM +0000
-73.9390173334,POINT (-73.93901733337957 40.71606471060839),40.7160647106,03/30/2015 12:00:00 AM +0000
-73.9378788358,POINT (-73.93787883582625 40.71636218886243),40.7163621889,03/30/2015 12:00:00 AM +0000
-73.9402318185,POINT (-73.94023181847302 40.71710875985121),40.7171087599,03/30/2015 12:00:00 AM +0000
